place_name;yr;period;index_nsa;index_sa;hpi_type_distress-free;hpi_type_manufactured;hpi_type_non-metro;hpi_type_traditional;hpi_flavor_expanded-data;hpi_flavor_purchase-only;frequency_quarterly;level_Puerto Rico;level_State;level_USA or Census Division
0;2008;1;165.05;186.56;False;False;False;True;False;False;True;False;False;False
0;2008;2;164.58;186.56;False;False;False;True;False;False;True;False;False;False
0;2008;3;165.74;186.56;False;False;False;True;False;False;True;False;False;False
0;2008;4;169.03;186.56;False;False;False;True;False;False;True;False;False;False
0;2009;1;170.3;186.56;False;False;False;True;False;False;True;False;False;False
0;2009;2;169.27;186.56;False;False;False;True;False;False;True;False;False;False
0;2009;3;169.88;186.56;False;False;False;True;False;False;True;False;False;False
0;2009;4;169.65;186.56;False;False;False;True;False;False;True;False;False;False
0;2010;1;170.38;186.56;False;False;False;True;False;False;True;False;False;False
0;2010;2;168.69;186.56;False;False;False;True;False;False;True;False;False;False
0;2010;3;170.68;186.56;False;False;False;True;False;False;True;False;False;False
0;2010;4;169.85;186.56;False;False;False;True;False;False;True;False;False;False
0;2011;1;168.21;186.56;False;False;False;True;False;False;True;False;False;False
